date,supplyT,returnT,volume,energy,flow,Frederikshavn Temperature [2 m elevation corrected],OT
2019-12-25 13:00:00,66.354,40.81600000000001,156202.1,2845630.0,0.9408,4.797285,26.98
2019-12-25 14:00:00,66.38,38.32,156203.6,2845680.0,1.2840000000000005,5.197285,41.5375
2019-12-25 15:00:00,66.59375,39.58625000000001,156204.9,2845720.0,1.359,5.3472853,42.675
2019-12-25 16:00:00,66.74875,42.1925,156206.4,2845770.0,1.5779999999999998,5.267285,44.1875
2019-12-25 17:00:00,66.71400000000001,42.353,156208.0,2845810.0,1.5240000000000002,5.137285,42.54
2019-12-25 18:00:00,66.72800000000001,39.928,156209.5,2845860.0,1.4495999999999998,4.887285,44.66
2019-12-25 19:00:00,66.68999999999998,42.048,156210.9,2845900.0,1.6992,4.607285,49.88
2019-12-25 20:00:00,66.69800000000001,40.754000000000005,156212.4,2845950.0,1.392,4.317285,42.44
2019-12-25 21:00:00,66.76200000000001,40.706,156213.80000000002,2845990.0,1.4544,4.0972853,42.58
2019-12-25 22:00:00,66.94166666666666,41.56166666666667,156214.9,2846020.0,0.996,3.797285,29.816666666666663
2019-12-25 23:00:00,66.64,37.968,156215.80000000002,2846050.0,0.9168,3.517285,29.18
2019-12-26 00:00:00,66.826,40.55200000000001,156217.0,2846080.0,1.1952000000000005,3.257285,36.74
2019-12-26 01:00:00,66.8075,39.4125,156217.9,2846110.0,0.978,3.057285,31.25
2019-12-26 02:00:00,66.80799999999999,40.606,156219.1,2846150.0,0.9744,2.7472851,29.2
2019-12-26 03:00:00,66.81200000000001,39.508,156220.0,2846180.0,0.9696,2.647285,30.86
2019-12-26 04:00:00,67.19833333333332,38.43666666666668,156221.7,2846230.0,1.832,2.627285,62.31666666666666
2019-12-26 05:00:00,67.58999999999999,41.45,156223.6,2846290.0,1.68,2.587285,50.73333333333333
2019-12-26 06:00:00,67.634,42.054,156225.30000000002,2846340.0,1.6944,2.547285,49.92
2019-12-26 07:00:00,67.73,41.71,156227.30000000002,2846400.0,1.848,2.597285,55.266666666666666
2019-12-26 08:00:00,67.542,41.834,156228.80000000002,2846450.0,1.6512,2.627285,48.82
2019-12-26 09:00:00,67.33999999999999,41.554,156230.30000000002,2846490.0,1.6848000000000003,2.6572852,50.94
2019-12-26 10:00:00,67.35,39.974,156231.9,2846540.0,1.6992,2.827285,54.8
2019-12-26 11:00:00,67.35333333333334,38.086666666666666,156233.9,2846610.0,1.628,2.9372852,54.93333333333334
2019-12-26 12:00:00,67.298,40.32000000000001,156235.4,2846660.0,1.7231999999999998,3.027285,53.84
2019-12-26 13:00:00,67.2325,39.04,156236.80000000002,2846700.0,1.83,3.077285,62.7
2019-12-26 14:00:00,67.39666666666668,40.763333333333335,156238.80000000002,2846770.0,1.7400000000000002,2.837285,53.15
2019-12-26 15:00:00,67.45,41.65,156240.2,2846810.0,1.746,2.4072852,51.7
2019-12-26 16:00:00,67.605,41.998333333333335,156242.0,2846860.0,1.588,1.727285,47.15
2019-12-26 17:00:00,67.60799999999999,42.772000000000006,156243.5,2846900.0,1.5984,1.527285,45.66
2019-12-26 18:00:00,67.628,41.83200000000001,156245.1,2846950.0,1.7231999999999998,1.367285,50.68
2019-12-26 19:00:00,67.608,41.666,156246.7,2847000.0,1.6416,1.347285,49.24
2019-12-26 20:00:00,67.806,42.958000000000006,156248.5,2847050.0,1.6176,1.3272849,46.3
2019-12-26 21:00:00,68.26166666666666,42.57,156249.9,2847090.0,1.4560000000000002,1.257285,42.55
2019-12-26 22:00:00,67.94800000000001,41.922,156250.9,2847120.0,1.0176,1.127285,31.56
2019-12-26 23:00:00,67.4,39.79600000000001,156251.9,2847160.0,0.8256,1.007285,26.46
2019-12-27 00:00:00,67.654,38.502,156252.80000000002,2847180.0,0.9408,0.99728507,30.22
2019-12-27 01:00:00,67.87499999999999,38.62,156254.0,2847220.0,1.1760000000000002,0.95728505,38.766666666666666
2019-12-27 02:00:00,68.0175,40.0975,156254.9,2847250.0,1.2540000000000002,0.65728503,40.525
2019-12-27 03:00:00,68.11,38.854,156256.2,2847300.0,1.0848,0.69728506,36.7
2019-12-27 04:00:00,68.42999999999999,37.60000000000001,156258.2,2847370.0,2.1168,0.56728506,75.3
2019-12-27 05:00:00,68.454,41.816,156260.0,2847420.0,1.9584,0.477285,60.1
2019-12-27 06:00:00,68.3775,41.9925,156261.5,2847470.0,1.86,0.347285,56.5
2019-12-27 07:00:00,68.548,41.272000000000006,156263.9,2847540.0,1.8384,0.07728502,57.62
2019-12-27 08:00:00,68.52166666666668,41.42166666666667,156266.0,2847610.0,1.828,-0.052714974,56.4
2019-12-27 09:00:00,68.46400000000001,40.45,156267.7,2847660.0,1.6752000000000002,-0.22271498,54.42
2019-12-27 10:00:00,68.46000000000001,40.852,156269.4,2847720.0,1.9104,-0.26271498,60.68
2019-12-27 11:00:00,68.44,40.268,156271.0,2847770.0,1.8336,-0.24271499,59.32
2019-12-27 12:00:00,68.31833333333333,41.785,156272.6,2847820.0,1.368,-0.29271498,42.03333333333334
2019-12-27 13:00:00,68.41600000000001,39.66,156274.1,2847870.0,1.812,1.1972849,60.66
2019-12-27 14:00:00,68.424,41.624,156275.80000000002,2847920.0,1.4208000000000005,0.88728505,43.74
2019-12-27 15:00:00,68.522,40.712,156277.7,2847990.0,1.896,0.467285,61.02
2019-12-27 16:00:00,68.862,41.754000000000005,156279.6,2848040.0,1.9584,0.07728502,61.08
2019-12-27 17:00:00,69.488,41.642,156281.4,2848100.0,1.8576,-0.10271497,59.58
2019-12-27 18:00:00,69.638,41.482000000000006,156283.5,2848170.0,1.848,-0.302715,59.84
2019-12-27 19:00:00,69.72333333333334,42.59166666666667,156285.6,2848240.0,1.84,-0.42271498,57.6
2019-12-27 20:00:00,69.826,41.388000000000005,156287.6,2848300.0,2.1264000000000003,-0.522715,69.8
2019-12-27 21:00:00,69.86,41.794,156289.30000000002,2848360.0,1.848,-0.632715,59.5
2019-12-27 22:00:00,69.628,38.316,156290.6,2848400.0,1.4208,-0.75271493,51.02
2019-12-27 23:00:00,69.08166666666666,40.15833333333333,156291.80000000002,2848440.0,1.164,-0.822715,38.88333333333333
2019-12-28 00:00:00,69.066,35.444,156292.9,2848490.0,0.9984,-0.92271495,38.62
2019-12-28 01:00:00,69.098,35.426,156293.9,2848530.0,1.0224,-1.012715,39.62
2019-12-28 02:00:00,69.102,36.094,156295.0,2848570.0,1.1328,-1.152715,43.14
2019-12-28 03:00:00,69.13666666666666,36.67666666666667,156296.30000000002,2848620.0,1.1880000000000002,-1.252715,43.78333333333334
2019-12-28 04:00:00,69.61600000000001,38.95,156298.4,2848690.0,2.3328,-1.232715,81.52
2019-12-28 05:00:00,69.77250000000001,44.1375,156300.1,2848740.0,2.142,-1.362715,62.875
2019-12-28 06:00:00,69.708,43.650000000000006,156302.7,2848820.0,2.1168000000000005,-1.482715,63.36
2019-12-28 07:00:00,69.82399999999998,42.776,156304.6,2848880.0,2.1168,-1.582715,65.64
2019-12-28 08:00:00,69.76199999999999,41.668,156306.4,2848940.0,1.9152,-1.652715,61.86
2019-12-28 09:00:00,69.7825,42.475,156308.6,2849010.0,1.7760000000000002,-1.742715,55.875
2019-12-28 10:00:00,69.76,41.546,156310.2,2849060.0,1.7328,-1.532715,56.22
2019-12-28 11:00:00,69.768,41.022000000000006,156312.1,2849120.0,1.7376,-1.072715,57.5
2019-12-28 12:00:00,69.758,41.104,156314.0,2849180.0,1.8480000000000003,-0.55271494,61.26
2019-12-28 13:00:00,69.74000000000001,41.1525,156316.30000000002,2849260.0,1.926,1.5772849,63.525
2019-12-28 14:00:00,69.76666666666667,41.60166666666667,156318.30000000002,2849330.0,2.052,1.467285,66.58333333333333
2019-12-28 15:00:00,69.71600000000001,42.084,156320.4,2849390.0,1.968,1.227285,62.56
2019-12-28 16:00:00,69.53,42.70399999999999,156322.4,2849460.0,2.064,0.93728507,63.88
2019-12-28 17:00:00,69.59400000000001,42.332,156324.30000000002,2849520.0,1.8048,0.807285,56.8
2019-12-28 18:00:00,69.53600000000002,41.95,156326.1,2849570.0,2.16,0.75728506,68.18
2019-12-28 19:00:00,69.582,42.452,156328.1,2849640.0,2.04,0.69728506,63.62
2019-12-28 20:00:00,69.744,42.28,156330.2,2849700.0,1.896,0.71728504,60.12
